name,ring,quadrant,isNew,description
C#,Применение,Языки и фреймворки,FALSE,
Node.js,Применение,Языки и фреймворки,FALSE,
ASP.NET Core,Применение,Языки и фреймворки,FALSE,
Typescript,Применение,Языки и фреймворки,TRUE,
.NET Core,Применение,Языки и фреймворки,FALSE,
Nest,Тестирование,Языки и фреймворки,TRUE,
Express.js,Исследованиеs,Языки и фреймворки,FALSE,
ASP.NET MVC,Сопровождение,Языки и фреймворки,FALSE,
Kentico,Сопровождение,Языки и фреймворки,FALSE,
.NET Framework,Сопровождение,Языки и фреймворки,FALSE,
ASP.NET Web Forms,Сопровождение,Языки и фреймворки,FALSE,
Kotlin,Сопровождение,Языки и фреймворки,FALSE,
Java,Сопровождение,Языки и фреймворки,FALSE,
SQL Stored procedure,Сопровождение,Языки и фреймворки,FALSE,
PostgreSQL,Применение,Работа с данными,FALSE,
RabbitMQ,Применение,Работа с данными,FALSE,
PostGis,Применение,Работа с данными,FALSE,
Elastic Search,Применение,Работа с данными,FALSE,
Kafka,Тестирование,Работа с данными,TRUE,
Minio,Тестирование,Работа с данными,FALSE,
Redis,Исследованиеs,Работа с данными,FALSE,
Memcache,Исследованиеs,Работа с данными,FALSE,
MongoDB,Исследованиеs,Работа с данными,FALSE,
MS SQL,Сопровождение,Работа с данными,FALSE,
OracleDB,Сопровождение,Работа с данными,FALSE,
Solr,Сопровождение,Работа с данными,FALSE,
MySQL,Сопровождение,Работа с данными,FALSE,
Lucene,Сопровождение,Работа с данными,FALSE,
SphinxSearch,Сопровождение,Работа с данными,FALSE,
REST,Применение,Платформа и инфраструктура,FALSE,
Microservice architecture,Применение,Платформа и инфраструктура,FALSE,
OpenTracing,Применение,Платформа и инфраструктура,TRUE,
Docker,Применение,Платформа и инфраструктура,FALSE,
Jenkins,Применение,Платформа и инфраструктура,FALSE,
gRPC,Тестирование,Платформа и инфраструктура,FALSE,
Kubernetes,Тестирование,Платформа и инфраструктура,FALSE,
TeamCity,Тестирование,Платформа и инфраструктура,FALSE,
Protobuf,Тестирование,Платформа и инфраструктура,FALSE,
Helm,Тестирование,Платформа и инфраструктура,FALSE,
Docker Swarm,Тестирование,Платформа и инфраструктура,FALSE,
Istio,Исследованиеs,Платформа и инфраструктура,TRUE,
OpenTelemetry,Исследованиеs,Платформа и инфраструктура,TRUE,
OpenShift,Исследованиеs,Платформа и инфраструктура,TRUE,
Zabbix,Сопровождение,Платформа и инфраструктура,FALSE,
TFS,Сопровождение,Платформа и инфраструктура,FALSE,
Github,Применение,Платформа и инфраструктура,FALSE,
Bitbucket,Сопровождение,Платформа и инфраструктура,FALSE,
Grafana,Применение,Техники и инструменты,FALSE,
Dapper,Применение,Техники и инструменты,FALSE,
Prometheus,Применение,Техники и инструменты,FALSE,
Kibana,Применение,Техники и инструменты,FALSE,
Nginx,Применение,Техники и инструменты,FALSE,
swagger-ui,Применение,Техники и инструменты,FALSE,
Infrastructure as Code,Применение,Техники и инструменты,FALSE,
Pipelines as code,Применение,Техники и инструменты,FALSE,
Structured Logging,Применение,Техники и инструменты,FALSE,
TDD,Применение,Техники и инструменты,FALSE,
Git Flow,Применение,Техники и инструменты,FALSE,
SOLID,Применение,Техники и инструменты,FALSE,
Sentry,Тестирование,Техники и инструменты,FALSE,
Google API Design Guide,Тестирование,Техники и инструменты,FALSE,
OpenAPI,Тестирование,Техники и инструменты,FALSE,
SonarQube,Тестирование,Техники и инструменты,TRUE,
Jaeger,Тестирование,Техники и инструменты,FALSE,
mkcert,Тестирование,Техники и инструменты,TRUE,
Vault,Тестирование,Техники и инструменты,TRUE,
InnerSource,Тестирование,Техники и инструменты,TRUE,
FaultTolerance,Исследованиеs,Техники и инструменты,TRUE,
Elastic APM,Исследованиеs,Техники и инструменты,TRUE,
HAProxy,Исследованиеs,Техники и инструменты,TRUE,
Pair programming,Исследованиеs,Техники и инструменты,FALSE,
Simplest possible feature toggle,Исследованиеs,Техники и инструменты,TRUE,
GitHub Flow,Исследованиеs,Техники и инструменты,TRUE,
GitLab Flow,Исследованиеs,Техники и инструменты,TRUE,
MIRO,Тестирование,Техники и инструменты,FALSE,
Apache,Сопровождение,Техники и инструменты,FALSE,
Dynatrace,Сопровождение,Техники и инструменты,FALSE,
NHibernate,Сопровождение,Техники и инструменты,FALSE,
Entity Framework ,Сопровождение,Техники и инструменты,FALSE,
ADO.NET,Сопровождение,Техники и инструменты,FALSE,
